"Pais","Regiao","Ano","Populacao","ExpectativaVida","PIB","PIB_Capita","Fertilidade","Pobreza"
"Chile","Latin America & Caribbean",2009,16829957,79.9608048780488,171956955710.4,16226.1486790103,1.844,4.1
"Chile","Latin America & Caribbean",2012,17388437,80.8948536585366,265231582123.496,21370.0993066395,1.789,NA
"Chile","Latin America & Caribbean",2011,17201305,80.5869756097561,250832362674.085,20266.0360287483,1.806,2.91
"Chile","Latin America & Caribbean",2010,17015048,80.2758048780488,217538271334.738,18249.5407673741,1.824,NA
"Cameroon","Sub-Saharan Africa",2009,20074522,53.2648536585366,23381142146.6485,2475.60567133384,5.093,NA
"Cameroon","Sub-Saharan Africa",2011,21119065,54.1373658536585,26587311527.5711,2614.49556147628,4.938,NA
"Cameroon","Sub-Saharan Africa",2010,20590666,53.6948292682927,23622483983.7101,2522.88180995012,5.017,NA
"Cameroon","Sub-Saharan Africa",2012,21659488,54.587512195122,26472056037.7696,2715.35411027364,4.859,NA
"China","East Asia & Pacific",2009,1331260000,74.8032682926829,5059419738267.41,8290.08892980984,1.535,NA
"China","East Asia & Pacific",2010,1337705000,75.0074146341463,6039658508485.59,9238.75526967938,1.539,27.24
"China","East Asia & Pacific",2012,1350695000,75.3929268292683,8461623162714.07,11219.927669958,1.549,NA
"China","East Asia & Pacific",2011,1344130000,75.2021707317073,7492432097810.11,10274.4943512259,1.544,NA
"Colombia","Latin America & Caribbean",2011,46406446,73.4548048780488,335415156702.186,11496.5272523381,1.978,15.31
"Colombia","Latin America & Caribbean",2010,45918101,73.2778536585366,287018184637.529,10680.0020763025,2.01,17.6
"Colombia","Latin America & Caribbean",2009,45416276,73.0969512195122,233821670544.258,10260.2052170834,2.044,20.4
"Colombia","Latin America & Caribbean",2012,46881018,73.6307804878049,369659700375.52,12058.461303685,1.948,16.2
"Costa Rica","Latin America & Caribbean",2012,4654148,79.0535365853659,45300669857.48,13839.4689225844,1.866,4.07
"Costa Rica","Latin America & Caribbean",2009,4488261,78.5926097560976,29382694860.8539,11823.1920282355,1.951,6.6
"Costa Rica","Latin America & Caribbean",2011,4600487,78.8901707317073,41237293551.3474,13072.1425592889,1.893,4.07
"Costa Rica","Latin America & Caribbean",2010,4545273,78.7360487804878,36298327620.1953,12402.9592880253,1.922,3.92
"Cuba","Latin America & Caribbean",2010,11308133,78.9356341463415,64328200000,18061.0096420539,1.635,NA
"Cuba","Latin America & Caribbean",2012,11342631,79.1416097560976,73139050000,19820.9769832893,1.628,NA
"Cuba","Latin America & Caribbean",2011,11323570,79.039512195122,68990140000,18924.7632701642,1.632,NA
"Cuba","Latin America & Caribbean",2009,11297442,78.8109756097561,62078600000,17443.3629479558,1.636,NA
"Curacao","Latin America & Caribbean",2010,148703,NA,NA,NA,2.2,NA
"Curacao","Latin America & Caribbean",2012,152088,NA,NA,NA,2.2,NA
"Curacao","Latin America & Caribbean",2011,150831,77.4731707317073,NA,NA,2.1,NA
"Curacao","Latin America & Caribbean",2009,146833,76.1560975609756,NA,NA,2.1,NA
